threshold,recall,precision,flag_rate,f1,tp,fp,fn
-0.19853891175037658,0.0,0.0,0.0,0.0,0.0,0.0,199.0
-0.19516849096302144,0.0,0.0,2.8431707039690663e-05,0.0,0.0,1.0,199.0
-0.19179807017566633,0.0,0.0,2.8431707039690663e-05,0.0,0.0,1.0,199.0
-0.1884276493883112,0.0,0.0,2.8431707039690663e-05,0.0,0.0,1.0,199.0
-0.18505722860095605,0.0,0.0,2.8431707039690663e-05,0.0,0.0,1.0,199.0
-0.18168680781360091,0.0,0.0,2.8431707039690663e-05,0.0,0.0,1.0,199.0
-0.1783163870262458,0.0,0.0,5.6863414079381326e-05,0.0,0.0,2.0,199.0
-0.17494596623889067,0.0,0.0,5.6863414079381326e-05,0.0,0.0,2.0,199.0
-0.17157554545153553,0.0,0.0,8.5295121119072e-05,0.0,0.0,3.0,199.0
-0.16820512466418042,0.0,0.0,0.0002274536563175253,0.0,0.0,8.0,199.0
-0.16483470387682528,0.0,0.0,0.000341180484476288,0.0,0.0,12.0,199.0
-0.16146428308947014,0.0,0.0,0.0004833390196747413,0.0,0.0,17.0,199.0
-0.15809386230211503,0.0,0.0,0.0007107926759922665,0.0,0.0,25.0,199.0
-0.1547234415147599,0.0,0.0,0.0008245195041510292,0.0,0.0,29.0,199.0
-0.15135302072740475,0.0,0.0,0.0009666780393494826,0.0,0.0,34.0,199.0
-0.14798259994004964,0.0,0.0,0.0012225634027066986,0.0,0.0,43.0,199.0
-0.1446121791526945,0.0,0.0,0.0015353121801432957,0.0,0.0,54.0,199.0
-0.14124175836533936,0.0,0.0,0.0018764926646195838,0.0,0.0,66.0,199.0
-0.13787133757798423,0.0,0.0,0.0021608097350164905,0.0,0.0,76.0,199.0
-0.1345009167906291,0.0,0.0,0.0026441487546912316,0.0,0.0,93.0,199.0
-0.13113049600327398,0.0,0.0,0.0029568975321278288,0.0,0.0,104.0,199.0
-0.12776007521591884,0.005025125628140704,0.00847457627118644,0.003354941430683498,0.006309148264984228,1.0,117.0,198.0
-0.12438965442856371,0.005025125628140704,0.007575757575757576,0.0037529853292391675,0.006042296072507553,1.0,131.0,198.0
-0.12101923364120859,0.005025125628140704,0.006993006993006993,0.004065734106675765,0.0058479532163742695,1.0,142.0,198.0
-0.11764881285385345,0.005025125628140704,0.00641025641025641,0.004435346298191744,0.00563380281690141,1.0,155.0,198.0
-0.11427839206649833,0.005025125628140704,0.005917159763313609,0.004804958489707722,0.005434782608695652,1.0,168.0,198.0
-0.11090797127914319,0.005025125628140704,0.005376344086021506,0.005288297509382463,0.005194805194805196,1.0,185.0,198.0
-0.10753755049178806,0.005025125628140704,0.004694835680751174,0.0060559535994541116,0.004854368932038835,1.0,212.0,198.0
